Smell word,In hoofdstuk?,Lexical category,Spelling variants,Olfactory Language Category,Valuation,Provenance,Definition,Attestation,
geurpsycholoog,,noun,,Nose,,website 2022,,De ontwikkeling en verspreiding van een geurhandtekening is zowel een kunst als een wetenschap. Je hebt twee dingen nodig. Allereerst het vermogen van een geurpsycholoog om een merk vanuit de visie van geurmarketing te belichten.,
neuskundig,,adjective,,Nose,,Wentgens_De Gids_1977,,"k ben naar Utrecht geweest naar een neuskundig collega en heb talloze reuk-experimenten genomen, het wordt echter nog niet beter. Frederik van Eeden in een brief na bezoek aan Zwaardemaker 1895",
zilt,,adjective,,Odor quality/  Characteristics,,,,,
zuur,,adjective,,Odor quality/  Characteristics,,,,,
fier,,adjective,,Odor quality/  Characteristics,,Friesch WDB	,,"It rûkt fier: de smaak, reuk dringt ver door'",
fynrokich,,adjective,,Odor quality/  Characteristics,,Friesch WDB,"Fijn van geur, reuk",,
zwoel,,adjective,,Odor quality/  Characteristics,,WNT, De zintuigen sterk bekorend of treffend.;  Van of m. betr. t. geuren: bedwelmend.,"s Avonds zat hij (zekere visscher) uren lang bij het openstaande venstertje van z'n slaapkamer en staarde dromerig in de lichte zomernacht, die zwoel van geuren was, Notenkraker 16 Sept. 1916, 7 a.; Als ze (t.w. een echtpaar) in den zomernacht heel laat buiten zaten in hun tuin, waar de rozen bloeiden en zwoele geuren opzonden in de stille lucht, luisterden ze hand in hand naar de nachtwind,  30 Sept. 1916, 7 a.",
sensueel,,adjective,,Odor quality/  Characteristics,,website 2022,,"Een geur die wereldwijd nog steeds groot favoriet is, is Yves Saint Laurent Opium. Dit parfum is in 1977 gelanceerd en staat bekend om haar aroma die u naar een rijke fantasiewereld brengt. Opium is fruitig, fleurig en heeft een warme kruidige oosterse structuur. De diepe, intense en sensuele geur zorgt voor sensatie en emotie",
zoetrokig,,adjective,,Odor quality/  Characteristics,,Wentgens_De Gids_1977,,‘zoet-rokige roos’,
weelderig,,adjective,,Odor quality/  Characteristics,,Wentgens_De Gids_1977,,,
adellijk ,,adjective,,Odor quality/ Abstract ,Malodorous,Brouwer Lexicon; WNT,,"Men verkiest in het Wild een Reuktjen om dat het adelijk is, schoon het een beginnend bederf aenduidt,   macquet, Letteroef. 1, 87 [1780].",
bedompt,,adjective,,Odor quality/ Abstract ,,WNT,"vertrekken en andere ruimten waarin men woont, en waarin gebrek is aan versche lucht: dompig. ",de lucht in  benauwde ruimten,
brak,,adjective,brakkig,Odor quality/ Abstract ,,WNT,"met betrekking tot den reuk, t.w. van de lucht, naar 't schijnt in den zin van: onzuiver, bedorven, muf, goor","Een Noortsche Lucht, die kout, grof, brackigh, ende besmet is met veel Dampen, dewelcke de Zee, en de Rivieren … opgeven,   v. beverw., Schat d. Onges. 2, 83 a [1642].",
broeiend,,adjective,,Odor quality/ Abstract ,,WNT,Door de gisting eene hitte ontwikkelen die brand veroorzaken kan,"Den geur van 't broeiend hooi (Bij den hooiopper),   v. beers, Rijz. Bl. 104 [1884].; Intusschen begint het opgelegde hooi uit te wasemen en de waterachtige vochten, welke er nog in zijn, uit te dampen, waarbij somtijds wel een brandige reuk komt, het welk een kenteeken is, dat er iets inwendig smeult en het hooi broeit,   9, 237.",
dompig,,adjective,,Odor quality/ Abstract ,,WNT,"vochtige uitwasemingen, van eene onfrissche atmosfeer vervuld, bedompt; vertrekken en andere ruimten waarin men woont, en waarin gebrek is aan versche lucht: dompig; Walm of rook gevend. ",,
duf ,,adjective,dof,Odor quality/ Abstract ,Malodorous,Brouwer Lexicon; WNT,"Niet frisch, bedompt; Onfrissche geur ten gevolge van vochtigheid of schimmel; mufheid (van brood e.d.).","Zout Veen is eigentlyk zout, en minder duf van reuk (dan brak veen),   berkhey, N.H. 2, 629 [1770].; Reeds werd de hut geraagd; de duffe lucht verdreven,   tollens 6, 103 [1828].; De duffe geur der natte aardkluiten steeg op uit de voren en grachten,   germonprez, Nov. 146 [1901].; Een duffe stank van stof en rook (in een station),   robbers, A. de Boogh; Er was (in de stal) een warmig duffe lucht van bedorven hooi. Men spreekt van een zaad met lucht, wanneer dit duf ruikt.; (”Brood, dat als onbruikbaar voor de militairen was afgekeurd …, beschimmeld, draderig en z.g. spinnerig bij het openbreken, met duffen reuk”, Versl. Veearts. Staatstoezicht 1914, 84).",
duffig ,,adjective,,Odor quality/ Abstract ,Malodorous,Brouwer Lexicon; WNT,Onfrissche geur ten gevolge van vochtigheid of schimmel; mufheid (van brood e.d.).,"Pannen moeten liefst zonder deksel omgekeerd weggezet worden, opdat … ze niet duf kunnen gaan ruiken,   wannee, Kookb. 3.",
