id;level1;synonym;definition
1;Fruity, citrus;Citrus;
2;Lemon;;
3;Grapefruit;;
4;Orange;;
5;Fruity, other than citrus;Fruity;
6;Pineapple;;
7;Grape juice;;
8;Strawberry;;
9;Apple;;Fruit
10;Pear;;
11;Cantaloupe;Honey dew melon;
12;Peach;;Fruit
13;Banana;;
14;Floral;;
15;Rose;;
16;Violets;;
17;Lavender;;
18;Cologne;;
19;Musk;;
20;Perfumery;;
21;Fragrant;;
22;Aromatic;;
23;Honey;;
24;Cherry;;Berry
25;Almond;;
26;Nail polish remover;;
27;Nutty;;Walnut, etc.
28;Spicy;;
29;Clove;;
30;Cinnamon;;
31;Laurel leaves;;
32;Tea leaves;;
33;Seasoning;;For meat
34;Black pepper;;
35;Green pepper;;
36;Dill;;
37;Caraway;;
38;Oak wood;Cognac;
39;Woody;Resinous;
40;Cedarwood;;
41;Mothballs;;
42;Minty;Peppermint;
43;Camphor;;
44;Eucaliptus;;
45;Chocolate;;
46;Vanilla;;
47;Sweet;;
48;Maple syrup;;
49;Caramel;;
50;Malty;;
51;Raisins;;
52;Molasses;;
53;Coconut;;
54;Anise;Licorice;
55;Alcoholic;;
56;Etherish;Anaesthetic;
57;Cleaning fluid;;
58;Gasoline;Solvent;
59;Turpentine;Pine oil;
60;Geranium leaves;;
61;Celery;;
62;Fresh green vegetables;;
63;Crushed weeds;;
64;Crushed grass;;
65;Herbal;Green, Cut grass;
66;Raw cucumber;;
67;Hay;;
68;Grainy;;As grain
69;Yeasty;;
70;Bakery;Fresh bread;
71;Sour milk;;
72;Fermented fruit;Rotten fruit;
73;Beery;;
74;Soapy;;
75;Leather;;
76;Cardboard;;
77;Rope;;
78;Wet paper;;
79;Wet wool;Wet dog;
80;Dirty linen;;
81;Stale;;
82;Musty;Earthy, Moldy;
83;Raw potato;;
84;Mouse;;
85;Mushroom;;
86;Peanut butter;;
87;Beany;;
88;Eggy;Fresh eggs;
89;Bark;Birch bark;
90;Cork;;
91;Burnt;Smoky;
92;Fresh tobacco smoke;;
93;Incense;;
94;Coffee;;
95;Stale tobacco smoke;;
96;Burnt paper;;
97;Burnt milk;;
98;Burnt rubber;;
99;Tar;;
100;Creosote;;
101;Disinfectant;Carbolic;
102;Medicinal;;
103;Chemical;;
104;Bitter;;
105;Sharp;Pungent, Acid;
106;Sour;Vinegar;
107;Sauerkraut;;
108;Ammonia;;
109;Urine;;
110;Cat urine;;
111;Fishy;;
112;Kippery;Smoked fish;
113;Seminal;Sperm-like;
114;New rubber;;
115;Sooty;;
116;Burnt;;
117;Kerosene;;
118;Oily;Fatty;
119;Buttery;Fresh butter;
120;Paint;;
121;Varnish;;
122;Popcorn;;
123;Fried chicken;;
124;Meaty;;cooked, good
125;Soupy;;
126;Cooked vegetables;;
127;Rancid;;
128;Sweaty;;
129;Cheesy;;
130;Household gas;;
131;Sulfidic;;
132;Garlic;Onion;
133;Metallic;;
134;Blood;Raw meat;
135;Animal;;
136;Sewer;;
137;Putrid;Foul, Decayed;
138;Fecal;;like manure
139;Cadaverous;Dead animal;
140;Sickening;;
141;Dry;Powdery;
142;Chalky;;
143;Light;;
144;Heavy;;
145;Cool;Cooling;
146;Warm;;
