level1;level2;description
Leather;Birch Tar Oil;"animalic; dry"
Leather;Iso Buryl Quinoline;
Leather;Castoreum Absolute;
Leather;Cade Oil;
Musk;Musk Absolute;"mysterious; erotic; sensual"
Musk;Indan Musk;
Musk;Nitro Musk;
Musk;Macrocyclic Musk;
Citrus;Lemon Oil;"refreshing; active; zesty"
Citrus;Mandarin Oil;
Citrus;Orange Oil;
Citrus;Grapefruit Oil;
Floral;Rose Oil;"cosmetic; romantic; innocent"
Floral;Hydroxycitronellal;
Floral;Jasmin Absolute;
Floral;Mimosa Absolute;
Aldehydic;Aldehyde;"radiant; precious; elegant; feminine"
Aldehydic;C-8 n-Octanal;
Aldehydic;C-9 n-Nonanal;
Aldehydic;C-10 n-Decanal;
Aldehydic;C-11 n-Undecanal;
Oriental;Clove Bud Oil;"mysterious; passionate; exotic; seductive"
Oriental;Benzoin Resinoid;
Oriental;Vanilla Absolute;
Oriental;Opoponax Resinoid;
Lavender;Lavender Oil;"stimulating; clean; fresh"
Lavender;Lavandin Oil;
Lavender;Spike Lavender Oil;
Fougère;Geranium Oil;"masculine; vitalizing; dynamic"
Fougère;Lavender Oil;
Fougère;Oakmoss Absolute;
Fougère;Clary Sage Oil;
Fruity;Black Currant Absolute;"original; light; fresh"
Fruity;Allycapronate;
Fruity;gamma-Undecalactone;
Fruity;gamma-Nonalactone;
Conifer;Pinus Pumilio Oil;"piny; resinous"
Conifer;Spruce oil;
Conifer;Fir Needles Oil;
Conifer;Pinus Sylvestis Oil;
Chypre;Oakmoss Absolute;"classical; exclusive; extravagant; luxurious"
Chypre;Labdanum Absolute;
Chypre;Bergamot Oil;
Chypre;Methylionone;
Herbaceous;Rosemary Oil;"stimulating; natural"
Herbaceous;Cedarleaf Oil;
Herbaceous;Basil Oil;
Herbaceous;Artemisia vulgaris Oil;
Green;Galbanum Oil;"natural; crispy; sporty"
Green;Styrolylacetate;
Green;cis-3-Hexenol;
Spicy;Coriander Oil;"aromatic; delicate; special"
Spicy;Cinnamon Oil;
Spicy;Cardamom Oil;
Spicy;Nutmeg Oil;
Woody;Sandalwood Oil;"warm; dry"
Woody;Cedarwood Oil;
Woody;Patchouly Oil;
Woody;Vetiver Oil;
Tobacco;Tobacco Leaf Absolute;"masculine; aromatic"
Tobacco;Tonka Absolute;
Tobacco;Cistus Oil;
Tobacco;Orris Absolute;
