level1; level2; odorant
Animal; acid; isovaleric acid
Animal; amine; methylbutenthiol
Animal; black currant; methoxymethylbutanethiol
Animal; cat; mercaptomethylbutyl formate|methoxymethylbutanethiol
Animal; fecal; m-cresol
Animal; green; 6-decenal
Animal; plastic; m-cresol
Animal; rancid; isovaleric acid
Animal; roast; mercaptomethylbutyl formate
Animal; rubber; phenylethylthiol
Animal; smoke; methylbutenthiol
Animal; sweat; o-picoline|pentanoic acid|5-isopropyl-2-methylpyrazine|methylethylpyrazine|isovaleric acid|4-methylhexanol
Animal; tallow; 6-decenal|2-decenal|2-decenal
Aromatic; anise; estragole
Aromatic; balsamic; styrene|acetylfuran
Aromatic; camphor; α-fenchyl alcohol|α-fenchyl alcohol|fenchyl alcohol|dihydrolinalool|borneol|methylbutanone|camphor|camphene
Aromatic; citrus; dihydrolinalool|p-cymene
Aromatic; cocoa; butyl methylbutyrate
Aromatic; coconut; ethyl undecanoate
Aromatic; cognac; ethyl undecanoate
Aromatic; cream; diethyl acetal
Aromatic; ester; methyl cyclohexanecarboxylate
Aromatic; ether; ethanal|methyl ethyl ketone
Aromatic; fat; 3,5-octadienone
Aromatic; flower; benzyl alcohol|γ-dodecalactone|β-ionone
Aromatic; fruit; ethyl phenylacetate|ethyl propionate|diethyl acetal|ethyl heptylate|ethyl 3-methylbutanoate|methylnonanedione|linalyl acetate|neryl acetate|hexyl acetate|nonyl acetate|butyl methylbutyrate|p-menth-1-en-9-ol|γ-dodecalactone|epoxy-β-ionone|isobornyl propionate|cedrenol|p-menth-1-en-9-yl acetate|ethyl cyclohexanoate|3,5-octadienone|methyl cyclohexanecarboxylate|2-pentylthiophene|α-ocimene|isopiperitone|2-methylbutyl acetate|propyl hexanoate|isopropyl butanoate|δ-dodecalactone|methyl quinoxaline|sesquiphellandrene
Aromatic; gasoline; styrene|p-cymene
Aromatic; green; isobutyraldehyde
Aromatic; herb; hexyl acetate|p-menth-1-en-9-ol|ocimene|p-menth-1-en-9-yl acetate|sesquiphellandrene
Aromatic; licorice; estragole
Aromatic; malt; isobutyraldehyde
Aromatic; medicine; guaiacol|syringol
Aromatic; menthol; neoisomenthol
Aromatic; mint; ethyl salicylate|1,8-cineole|methylpentanone|(-)-carvone
Aromatic; mushroom; 3,5-octadienone
Aromatic; nut; methyl quinoxaline
Aromatic; peppermint; methyl salicylate
Aromatic; phenol; phenol|p-hydroethylbenzene|4-propyl-guaiacol|syringol
Aromatic; pine; δ-terpinene
Aromatic; plastic; δ-terpinene
Aromatic; pungent; isopropyl butanoate|ethanal|isobutyraldehyde|propanoic acid
Aromatic; rancid; propanoic acid
Aromatic; raspberry; β-ionone
Aromatic; roast; methyl quinoxaline
Aromatic; seaweed; β-ionone
Aromatic; smoke; guaiacol|syringol
Aromatic; solvent; p-cymene
Aromatic; soy; propanoic acid
Aromatic; spice; p-hydroethylbenzene
Aromatic; straw; methylnonanedione
Aromatic; sweet; benzyl alcohol|ethyl phenylacetate|linalyl acetate|nonyl acetate|γ-dodecalactone|epoxy-β-ionone|1,8-cineole|2-pentylthiophene|isopiperitone|β-sinensal|p-methoxystyrene|δ-dodecalactone|sesquiphellandrene|guaiacol
Aromatic; terpentine; (-)-nootkatone
Aromatic; turpentine; isobornyl propionate
Aromatic; vanilla; acetovanillone
Aromatic; violet; β-ionone
Aromatic; wet cloth; α-ocimene
Aromatic; wintergreen; ethyl salicylate
Aromatic; wood; dihydrolinalool|epoxy-β-ionone
Berry; black currant; mercaptomethylpentanone
Berry; ether; hexanone
Berry; fruit; pentenal|isopropyl benzoate
Berry; grape; ethyl decanoate|hexanone
Berry; raspberry; raspberry ketone
Berry; strawberry; hexyl methylbutyrate|methyl cinnamate|pentenal|methyl cinnamate
Berry; sweet; isopropyl benzoate
Berry; tomato; pentenal
Citrus; 0; nonanal
Citrus; citrus; linalyl valerate|linalyl formate|α-p-dimethylstyrene|p-cymenol|β-cubebene|(Z)-limonene oxide|cis-linalool pyran oxide|6(10)-dihydromyrcenol|dihydromyrcenol|(Z)-β-Farnesene|(Z)-ocimene,|(E)-limonene oxide|dihydroterpinyl acetate|(+)-limonene|(epoxymethylbutyl)-methylfuran
Citrus; cologne; 6(10)-dihydromyrcenol|dihydromyrcenol
Citrus; coriander; linalyl formate
Citrus; earth; (epoxymethylbutyl)-methylfuran
Citrus; flower; (Z)-ocimene,
Citrus; fresh; undecanone|(Z)-limonene oxide|ethylhydroxyhexanoate|(E)-limonene oxide
Citrus; fruit; β-cubebene
Citrus; green; undecanone|cis-linalool pyran oxide|(Z)-β-Farnesene|(epoxymethylbutyl)-methylfuran
Citrus; herb; (Z)-ocimene,
Citrus; lavender; linalyl valerate
Citrus; lemon; neral|δ-3-carene|limonene|geranial|citral|α-terpinene
Citrus; mandarin; undecanol
Citrus; metal; zingiberenol
Citrus; mint; geranial|β-cyclocitral|(+)-limonene|α-phellandrene
Citrus; must; p-cymenol
Citrus; oil; decyl alcohol
Citrus; orange; methyl octanoate|undecanone|decyl alcohol|limonene|2-decenal
Citrus; orange peel; decanal|β-carene
Citrus; pine; α-p-dimethylstyrene|dihydroterpinyl acetate
Citrus; resin; δ-3-carene
Citrus; soap; decanal
Citrus; spice; α-phellandrene
Citrus; sweet; nerol
Citrus; tallow; decanal
Citrus; tart lime; 6(10)-dihydromyrcenol|dihydromyrcenol
Citrus; turpentine; α-phellandrene
Dairy; butter; diacetyl|acetoin|2,3-pentadione|pentenol|isobutyric acid
Dairy; cheese; butyric acid|methylbutyric acid|octanoic acid|isobutyric acid
Dairy; cream; acetoin|2,3-pentadione
Dairy; fat; decanoic acid
Dairy; green; nonanone
Dairy; hot milk; nonanone
Dairy; pungent; pentenol
Dairy; rancid; butyric acid|decanoic acid|isobutyric acid|durene
Dairy; soap; heptanone|nonanone
Dairy; sweat; butyric acid|methylbutyric acid|octanoic acid
Dairy; sweet; durene
Edible Oil; almond; heptenal
Edible Oil; anise; α-terpineol
Edible Oil; citrus; heptanal
Edible Oil; cocoa; dimethyl pyrazine|dimethyl pyrazine
Edible Oil; coconut; methyl laurate
