ID,LABEL en,LABEL,SYNONYMS,DEFINITION,BIBLIOGRAPHY
1,Alchemist's workshop,,,,
2,Animal market,,,,
3,Ball,,,,
4,Bathroom,,,,
5,Beach,,,,
6,Beer Brewery,,,,
7,Bleaching field,,,,
8,Castle,,,,
9,Building or outbuilding where laundry is done,,,,
10,Cacao factory,,,,
11,Canal,,,,
12,Cave,,,,
13,Chemical industry,,,,
14,City,,,,
15,Dining-room,,,,
16,Canteen,,,,
17,Distillery,,,,
18,Dungheap,,,,
19,Forest,Wald,,,
20,Forest fire,,,,
21,Fullery,,,,
22,Factories and mills in landscape,,,,
23,Factory,,,,
24,Factory-interior,,,,
25,Farm,,,,
26,Fish market,,,,
27,Garden,,,,
28,Grocery,,,,
29,Greenhouse,,,,
30,Hayfield,,,,
31,Handicraft place,,,,
32,Hospital,,,,
33,hot-house,,,,
34,Hunting scene,,,,
35,Church,,,,
36,Coffee-house,,,,
37,Kitchen,Küche,,,
38,rich kitchen,,,,
39,poor kitchen,,,,
40,Lane,,,,
41,Warehouse,,,,
42,Lime Kiln,,,,
43,Limonaia,,,,
44,Orangerie,,,,
45,Market,,,,
46,market-hall,,,,
47,Marshland,,,,
48,meadow,,,,
49,mountain,,,,
50,Nursery (plants),,,,
51,Ocean,,,,
52,Office,,,,
53,Place of worship,,,,
54,Permanent exhibition,,,,
55,Pastry factory,,,,
56,Prison,,,,
57,poultry farm,,,,
58,Pharmacy,Badehaus,Badestube,,
59,Public Bath,,,,
60,stud farm,,,,
61,Slaughter house,,,,
62,Slum,,,,
63,Stall,,,,
64,Street,,,,
65,Sugar factory,,,,
66,Swamps and polders,,,,
67,Swamp,,,,
68,Tannery,,,,
69,House,,,,
70,Wig shop,,,,
71,Tobacco factory,,,,
72,Tea garden,,,,
73,Village,,,,
74,Hospital ward,,,,
75,Wash house,,,,
76,War zone,Schlachtfeld,,,
77,Graveyard,,,,
78,Field hospital,,,,
79,Pleasure fair,,,,
80,Ropery,,,,
81,Fenced garden,,,,
82,Brothel,,,,
83,Anatomical theatre,,,,
84,Botanical garden,,,,
85,Soap works,,,,
86,Old House,,,,
87,Medical garden,,,,
88,Synagogue,,,,
89,Mosque,,,,
90,Vinegar factory,,,,
91,Tobacco spinning workshop,,,,
92,Restaurant,,,,
93,Sea,,,,
94,Tarpit,Teergrube,,,
95,Library,,,,
96,Polder,,,,
97,Run factory,,,,
98,Sewer,Kanalisation,,,
99,Limkiln,,,,
100,Pub,,,,
101,Hell,,,,
102,Theatre,,,,
103,Dirt road,,,,
104,School,,,,
105,Bakery,,,,
106,Print shop,,,,
107,Shop,,,,
108,Paradise,,,,
109,Arabia,,,,
110,Arcadia,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
