ID,LABEL en,LABEL,SYNONYMS,DEFINITION,BIBLIOGRAPHY
1,Alchemist's workshop,Atelier d'alchimie,,,
2,Animal market,Marché aux bestiaux,Marché des animaux,,
3,Ball,Bal,,,
4,Bathroom,Salle de bain,"Toilettes, Salle d'eau",,
5,Beach,Spiaggia,Littoral,,
6,Beer Brewery,Brasserie,,,
7,Bleaching field,Champ de blanchiment,,,
8,Castle,Chateau,,,
9,Building or outbuilding where laundry is done,Laverie,,,
10,Cacao factory,Usine de cacao,,,
11,Canal,Canal,Chenal,,
12,Cave,Grotte,"Caverne, Cave",,
13,Chemical industry,Industrie Chimique,,,
14,City,Ville,Cité,,
15,Dining-room,Salle à manger,,,
16,Canteen,Cantine,"Gourde, Réfectoire Cafétéria",,
17,Distillery,Distillerie,,,
18,Dungheap,Tas de fumier,,,
19,Forest,Forêt,"Bois, Foresterie",,
20,Forest fire,Feu de forêt,"Incendie de forêt, Incendie forestier",,
21,Fullery,Foulon,,,
22,Factories and mills in landscape,"Usines, fabriques et moulins dans un paysage",,,
23,Factory,Usine,,,
24,Factory-interior,Intérieur d'usine,,,
25,Farm,Ferme,,,
26,Fish market,Marché aux poissons,Poissonerie,,
27,Garden,Jardin,,,
28,Grocery,Épicerie,,,
29,Greenhouse,Serre,,,
30,Hayfield,Champ de foin,,,
31,Handicraft place,Atelier,,,
32,Hospital,Hôpital,,,
33,hot-house,Serre chaude,,,
34,Hunting scene,Scène de chasse ,,,
35,Church,Eglise,,,
36,Coffee-house,Café,,,
37,Kitchen,Cuisine,,,
38,rich kitchen,Cuisine riche,,,
39,poor kitchen,Cuisine pauvre,,,
40,Lane,Ruelle,"Chemin, Allée",,
41,Warehouse,Entrepôt,"Dépôt, Magasin, Stock",,
42,Lime Kiln,Four à chaux,,,
43,Limonaia,Limonaia,,,
44,Orangerie,Orangerie,,,
45,Market,Marché,,,
46,market-hall,Halle,Marché couvert,,
47,Marshland,Marécage,,,
48,"meadow, pasture",Pàturage,"Pré, Pàture, Praire",,
49,mountain,Montange,Mont,,
50,Nursery (plants),Pépinière,"Couveuse, Jardinerie, Vivier",,
51,Ocean,Océan,,,
52,Office,Bureau,,,
53,Place of worship,Lieu de culte,,,
54,Permanent exhibition,Musée,Exposition permanente,,
55,Pastry factory,Pâtisserie,,,
