ID,LABEL en,LABEL,SYNONYMS,DEFINITION,BIBLIOGRAPHY
1,Alchemist's workshop,Laboratorio dell'alchimista,Laboratorio alchemico,,
2,Animal market,Mercato degli animali,"Mercato del bestiame, Fiera",,
3,Ball,Ballo,,,
4,Bathroom,Bagno,,,
5,Beach,Spiaggia,,,
6,Beer Brewery,Birrificio,,,
7,Bleaching field,,,,
8,Castle,Castello,,,
9,Building or outbuilding where laundry is done,Lavanderia,,,
10,Cacao factory,Fabbrica di cioccolato,Fabbrica di cacao,,
11,Canal,Canale,"Naviglio, Roggia",,
12,Cave,Caverna,Grotta,,
13,Chemical industry,Industria chimica,,,
14,City,Città,Ambiente urbano,,
15,Dining-room,Sala da pranzo,,,
16,Canteen,Mensa,Refettorio,,
17,Distillery,Distilleria,,,
18,Dungheap,Mucchio di letame,Letamaio,,
19,Forest,Foresta,"Bosco, Selva",,
20,Forest fire,Incendio boschivo,,,
21,Fullery,Gualchiera,,,
22,Factories and mills in landscape,Stabilimenti e mulini sul paesaggio,Stabilimenti e mulini sullo sfondo,,
23,Factory,Fabbrica,,,
24,Factory-interior,Interno di una fabbrica,Officina di macchinari,,
25,Farm,Fattoria,,,
26,Fish market,Mercato del pesce,"Mercato ittico, Pescheria",,
27,Garden,Giardino,,,
28,Grocery,Drogheria,,,
29,Greenhouse,Serra,Arancera,,
30,Hayfield,Campo di fieno,,,
31,Handicraft place,Laboratorio artigianale,Bottega,,
32,Hospital,Ospedale,,,
33,hot-house,Serra riscaldata,,,
34,Hunting scene,Scena di caccia,,,
35,Church,Chiesa,,,
36,Coffee-house,Caffetteria,"Caffè, Bottega del caffè, Bar",,
37,Kitchen,Cucina,,,
38,rich kitchen,Cucina ricca,,,
39,poor kitchen,Cucina povera,,,
40,Lane,Stradina,"Vicolo, Viuzza, Vico",,
41,Warehouse,Magazzino,Deposito,,
42,Lime Kiln,Calcara,"Calchèra, Forno da calce",,
43,Limonaia,Limonaia,,,
44,Orangerie,Aranciera,,,
45,Market,Mercato,,,
46,market-hall,Mercato coperto ,,,
47,Marshland,Acquitrino,"Palude, Terreno paludoso, Zona paludosa",,
48,meadow,Pascolo,"Alpeggio, Pastura",,
49,mountain,Montagna,,,
50,Nursery (plants),Vivaio,Orto,,
51,Ocean,Oceano,,,
52,Office,Ufficio,,,
53,Place of worship,Luogo di culto,Edificio di culto,,
54,Museum,Museo,"Galleria, Esibizione permanente",,
55,Pastry factory,Pasticceria,Industria dolciaria,,
56,Prison,Prigione,"Carcere, Gattabuia, Galera, Gabbio, Penitenziario",,
57,poultry farm,Azienda avicola,Allevamento di polli,,
58,Pharmacy,Farmacia,,,
59,Public Bath,Bagni pubblici,Terme,,
60,stud farm,Scuderia,,,
61,Slaughter house,Mattatoio,,,
62,Slum,Baraccopoli,,,
63,Stall,Stalla,,,
64,Street,Strada,Via,,
65,Sugar factory,Zuccherificio,Fabbrica dello Zucchero,,
66,Swamps and polders,Paludi e Polder,,,
67,Swamp,Palude,Zona paludosa,,
68,Tannery,Conceria,,,
69,House,Casa,Abitazione,,
70,Wig shop,Parrucchiere,Negozio di parrucche,,
71,Tobacco factory,Fabbrica di Tabacco,,,
72,Tea garden,Giardino per il tè,,,
73,Village,Paese,Villaggio,,
74,Hospital ward,Corsia (ospedale),"Stanza d'ospedale, Reparto",,
75,Wash house,Lavatoio,Lavanderia,,
76,War zone,Campo di battaglia,Zona di guerra,,
77,Graveyard,Cimitero,Camposanto,,
78,Field hospital,Ospedale da campo,,,
79,Pleasure fair,Parco divertimenti,"Circo, Luna Park, Giostre",,
80,Ropery,Corderia,,,
81,Fenced garden,Giardino recintato,,,
82,Brothel,Bordello,"Casa chiusa, Casa di appuntamenti, Lupanare",,
83,Anatomical theatre,Teatro anatomico,,,
84,Botanical garden,Giardino botanico,,,
85,Soap works,Saponificio,Fabbrica di Sapone,,
86,Old House,Vecchia casa,,,
87,Medical garden,Giardino medicinale,Orto medicinale,,
88,Synagogue,Sinagoga,,,
89,Mosque,Moschea,,,
90,Vinegar factory,Acetificio,Fabbrica di aceto,,
91,Tobacco spinning workshop,Laboratorio di filatura del tabacco,,,
92,Restaurant,Ristorante,,,
93,Sea,Mare,,,
94,Tarpit,Fossa di catrame,Pozzo di catrame,,
95,Library,Biblioteca,,,
96,Polder,,,,
97,Run factory,,,,
98,Sewer,Fogna,Fognatura,,
99,Limkiln,Calcara,"Calchera, Forno da calce",,
100,Pub,Pub,Birreria,,
101,Hell,Inferno,,,
102,Theatre,Teatro,,,
103,Dirt road,Strada sterrata,"Carrareccia, Mulattiera",,
104,School,Scuola,,,
105,Bakery,Panetteria,Panificio,,
106,Print shop,Tipografia,,,
107,Shop,Negozio,Bottega,,
108,Paradise,Paradiso,,,
109,Arabia,,,,
110,Arcadia,Arcadia,,,
111,Bedroom,Camera da letto,Camera,,
112,Living room,Salone,Salotto,,
113,Coal Wagon,,,,
114,Dilligence,,,,
115,Haystack,,,,
116,Stable,Scuderia,,,
117,,,,,
118,,,,,
