ID,LABEL en,LABEL,SYNONYMS,DEFINITION,BIBLIOGRAPHY
1,Alchemist's workshop,Alchemistenlab,Werkplaats van de alchemist,,
2,Animal market,Dierenmarkt,Veemarkt,,
3,Ball,Balzaal,Dansfeest,,
4,Bathroom,Badkamer,,,
5,Beach,Strand,,,
6,Beer Brewery,Bierbrouwerij,,,
7,Bleaching field,Bleekveld,,,
8,Castle,Kasteel,,,"WNT: Het kasteel was weldra geheel met hofmanstank … geparfumeerd, Loosjes, Golst. 1, 21."
9,Laundry place,Wasserette,Washuis,,
10,Cacao factory,Cacaofabriek,,,
11,Canal,Gracht,Kanaal,,
12,Cave,Grot,,,
13,Chemical industry,Chemische industrie,,,
14,City,Stad,,,"WNT: De heele stad is met stank vervuld, v. daleᴣ; Wat hadde dan die stadt anders gheweest dan eenen gruwelicken moortcuijl, dan eenen hoop greijs, viers, roocx, bloets, dooder lichamen ende stancx, v. vaernewijck, Ber. T. 2, 3 [1566]."
15,Dining-room,Eetkamer,,,
16,Canteen,Kantine,,,
17,Distillery,Distilleerderij,Destilleerderij,,
18,Dungheap,Mesthoop,Mestvaalt,,
19,Forest,Bos,"Woud, Hout",,
20,Forest fire,Bosbrand,,,
21,Fullery,Vollerij,,,
22,Factories and mills in landscape,Fabrieken en molens in landschap,,,
23,Factory,Fabriek,Fabrieksgebouw,,"WNT: 't Fabriek, — de gore, hooge holten, die ze wel eens even door 'n kierende deur had ingekeken, terwijl 'n zure stank, door 'n bitteren roet-walm heen, haar in de keel sloeg, schart.-ant., Sprotje 1, 13 [1905]."
24,Factory-interior,Fabrieksinterieur,,,
25,Farm,Boerderij,,,
26,Fish market,Vismarkt,Visafslag,,
27,Garden,Tuin,,,
28,Grocery,Kruidenier,"Kruidenwinkel, kruidenierswinkel",,
29,Greenhouse,Kas,Plantenkas,,
30,Hayfield,Hooiveld,Hooiakker,,
31,Handicraft place,Werkplaats,,,
32,Hospital,Ziekenhuis,Hospitaal,,
33,hot-house,Broeikas,,,
34,Hunting scene,Jachttafereel,Stilleven met wild/ wildstilleven,,
35,Church,Kerk,,,"WNT: (Mozes) leeft, hij groeit in deugd, in moed, Die straks, voor vunze kerkerwalmen, U Kanâns geuren aêmen doet,  bogaers 1, 59 [1835]."
36,Coffee-house,Koffiehuis,,,
37,Kitchen,Keuken,,,
38,rich kitchen,Rijke keuken,,,
39,poor kitchen,Armeluiskeuken,Gaarkeuken,,
40,Lane,Laan,,,
41,Warehouse,Magazijn,Opslagplaats,,
42,Lime Kiln,Kalkoven,Kalkbranderij,,
43,Limonaia,Limonaia,,,
44,Orangerie,Oranjerie,,,
45,Market,Markt,,,
46,market-hall,Markthal,,,
47,Marshland,Moeras,,,
48,meadow,Weiland,"Weide, veld",,
49,mountain,Berg,,,
50,Nursery (plants),Tuincentrum,,,
51,Ocean,Oceaan,,,
52,Office,Kantoor,,,
53,Place of worship,Gebedsruimte,,,
54,Museum,Tentoonstellingsruimte,Museunzaal,,
55,Pastry factory,Banketbakkerij,,,
56,Prison,Gevangenis,Gevang,,
57,poultry farm,Pluimveehouderij,,,
58,Pharmacy,Apothekerswinkel,"Apothekersbenodidheden, simplicia",,
59,Public Bath,Badhuis,Openbaar bad,,
60,stud farm,Veefokkerij,,,
61,Slaughter house,Slachthuis,Abattoir,,
62,Slum,Krottenwijk,Krotwoning,,
63,Stall,Stal,,,"WNT: Het Vee, den vunschen stal ontvlucht,  Ned. Jaerb. 1750, 322 [1750]."
64,Street,Straat,,,
65,Sugar factory,Suikerraffinaderij,Suikerbranderij,,
66,Swamps and polders,Moerassen en polders,,,
67,Swamp,Moeras,Ven,,
68,Tannery,Looierij,Leerlooierij,,
69,House,Huis,,,"WNT: Daar was een onverdraaglijke stank in huis, Halma."
70,Wig shop,Pruikenwinkel,,,"WNT: Dog laat ons hier van afzien; op dat wy, met het doorsnuffelen der Paruikwinkelen, niet beneveld worden, door den reuk der Pomade, berkhey, N.H. 3, 693 [1773]."
71,Tobacco factory,Tabaksfabriek,,,
72,Tea garden,Theetuin,,,
73,Village,Dorp,,,
74,Hospital ward,Ziekenzaal,,,
75,Wash house,Washuis,,,
76,War zone,Slagveld,Oorlogsgebied,,
77,Graveyard,Begraafplaats,Grafveld,,
78,Field hospital,Veldhospitaal,,,
79,Pleasure fair,Kermis ,Circus,,
80,Ropery,Lijnbaan,Touwslagerij,,
81,Fenced garden,Omsloten tuin,Hortus conclusus,,
82,Brothel,Bordeel,Hoerenhuis,,
83,Anatomical theatre,Anatomisch theater,,,
84,Botanical garden,Botanische tuin,Hortus Botanicus,,
85,Soap works,Zeepziederij,,,
86,Old House,Oud huis,,,
87,Medical garden,Medische tuin,"artsenijtuin, plantage, plantaadje",,
88,Synagogue,Synagoge,,,
89,Mosque,Moskee,,,
90,Vinegar factory,Azijnmakerij,,,"WNT: Sien, die in de plooien van 'r kleeren altijd de scherp goor-zure lucht meebracht van 'r azijn-makerij,  schart.-ant., Sprotje 1, 29 [1905]."
91,Tobacco spinning workshop,Tabaksspinnerij,,,
92,Restaurant,Restaurant,,,"WNT: Het rook er zoo lakker a's aen de deur van 't Lanswelvaren: — zoo 'enen reuk gelyk van 'en restoratie, consc., Avondst. 89 [1846]."
93,Sea,Zee,,,"WNT: Rook hij hier al niet zijn zee, die weeïg-zoute lucht van zeegras, mosselen, wier en drooggeloopen scharren? haspels, Brandaris 29 [1908]."
94,Tarpit,Teerput,,,
95,Library,Bibliotheek,,,
96,Polder,Polder,,,
97,Run factory,Runmakerij,,"run: Eikenschors (soms ook schors van andere boomen als berken, wilgen), inzonderheid (thans bepaaldelijk) in gemalen toestand, zooals zij, wegens het looizuur dat er in bevat is, in de leerlooierij wordt gebezigd","WNT: De reuk en smaak (wordt) aangedaan, in de verte zelfs van Kalkovens, Runmakerijen, Leertouwerijen enz., berkhey, N.H. 5, 401 [1805]."
98,Sewer,Riool,Riolering,,"WNT: Het Amsterdamsche water ontvangt van duizend en duizend riolen en riooltjes eenen slechten reuk,  weil.; (Ieder huis) heeft sijn vuyltjens, sijn' verborgene riolen, Sijn on-Civetsch geheim, sijn' Amberloose holen,  huygens 1, 539 [1661].; De Keirel sou my cuysschen al waert dat ick in een Riool stack Want men vont noyt leelijck Lief, Ogier, Seven Hoofts. 173 [1647].; Zóó veel verstand hebben zij (zekere schrijvers), dat zij gevoelen, dat het talent der beschrijving die dingen smakelijk moet maken; maar men sla dat talent niet te hoog aan! Een riool is een riool en niets meer, Geel 236 [1835].; Op den bovensten trap van een kelder … onder den frisschen adem van een stinkend riool, Beets, C.O. 25 [1839].; Wat zijn … Haar herten? Nesten van veel pyn enz. … Haer keelen? Open stanck-ryolen En sonden-holen,  camphuyzen, Ps. 5, 11 [c. 1626].; Ten einde in die vunze, donkere holen (van de Londensche rioleering) te kunnen zien, is ieder (werkman) van een lantaren voorzien,   Boek d. Uitv. 6, 47 [1869]."
99,Limkiln,Kalkoven,,,"WNT: De reuk en smaak (wordt) aangedaan, in de verte zelfs van Kalkovens, Runmakerijen, Leertouwerijen enz., berkhey, N.H. 5, 401 [1805]."
100,Pub,Kroeg,,,"WNT: 't Was luguber-leeg in hun stamlokaal. Er hing oude stank van bedorven bier en sigaren-eindjes,  Robbers, Gel. Fam. 83 [1909]."
101,Hell,Hel,,,"WNT: En al waer dit genoch tot een Godt-salich leven, Soo stelt daer evenwel de helsche pijn beneven, Vol vier, vol vlam, vol nacht, vol swaevel, peck, en stanck,  Poirters, H. Herte 86."
102,Theatre,Theater,,,"WNT: Omstreeks het midden der voorstelling verneemt men een zonderling geraas, en een onaangename reuk verspreidt zich door de zaal,  Alg. Handelsbl. 11 Sept. 1830, 6 a [1830].; Dit zelfde ondervind men in de Schouwburgen, daar men in de bovenste zittingen (t.w. de loges) altydt een vunze reuk gewaar word,  du hamel du monceau, Baak d. Gezondh. 73 [1760]."
103,Dirt road,Zandweg,,,"WNT: De korte nacht had geen koelte meegebracht, en de dampkring was steeds bevangen, vol van den reuk der zandwegen, die voortwentelden tusschen het dorre zoomgras en de poeierige akkers,  Vlaanderen 2, 361 [1904]."
104,School,School,,,"WNT: Nimmer zal men Kinderen zenden naar kleine, vunsche, stinkende Schooltjes,  v. geuns bij sypkens smit, M. v. Geuns 537 a [1788]."
