ID,LABEL en,LABEL,SYNONYMS,DEFINITION,BIBLIOGRAPHY
1,Alchemist's workshop,alkimistična delavnica,,,
2,Animal market,živinski sejem,,,
3,Ball,plesna dvorana,,,
4,Bathroom,kopalnica,stranišče,,
5,Beach,plaža,,,
6,Beer Brewery,pivovarna,,,
7,Bleaching field,prostor za beljenje,,,
8,Castle,grad,trdnjava,,
9,Building or outbuilding where laundry is done, pralnica,,,
10,Cacao factory,Tovarna kakava,,,
11,Canal,kanal,"cev, prepust",,
12,Cave,jama,,,
13,Chemical industry,kemična industrija,,,
14,City,mesto,,,
15,Dining-room,jedilnica,,,
16,Canteen,menza,kantina,,
17,Distillery,destilarna,žganjarna,,
18,Dungheap,gnojišče,,,
19,Forest,gozdno drevje,,,
20,Forest fire,gozdni požar,,,
21,Fullery,suknarna,valjarna sukna,,
22,Factories and mills in landscape,Tovarne in mlini v pokrajini,,,
23,Factory,tovarna,"fabrika, obrat",,
24,Factory-interior,notranje prostore tovarne,,,
25,Farm,kmetija,,,
26,Fish market,ribja tržnica,ribarnica,,
27,Garden,vrt,,,
28,Grocery,trgovina z živili,špecerija,,
29,Greenhouse,steklenjak,rastlinjak,,
30,Hayfield,travnik,,,
31,Handicraft place,obrtniški prostor,,,
32,Hospital,bolnišnica,,,
33,hot-house,rastlinjak,,,
34,Hunting scene,lovski prizor,,,
35,Church,cerkev,,,
36,Coffee-house,kavarna,,,
37,Kitchen,kuhinja,,,
38,rich kitchen,bogata kuhinja,,,
39,poor kitchen,uboga kuhinja,,,
40,Lane,steza,,,
41,Warehouse,skladišče,,,
42,Lime Kiln,apneničarstvo,,,
43,Limonaia,,,,
44,Orangerie,oranžerija,,,
45,Market,trg,,,
46,market-hall,tržnica,,,
47,Marshland,močvirje,barje,,
48,meadow,livada,loka,,
49,mountain,gora,planina,,
50,Nursery (plants),drevesnica,,,
51,Ocean,ocean,,,
52,Office,pisarna,,,
53,Place of worship,svetišče,,,
54,Museum,muzej,,,
55,Pastry factory,tovarna peciva,,,
56,Prison,zapor,,,
57,poultry farm,reja perutnine,,,
58,Pharmacy,lekarna,,,
59,Public Bath,kopališče ,kopalna hiša,,
60,stud farm,kobilarna,,,
61,Slaughter house,klavnica,,,
62,Slum,barakarsko naselje,"revna četrt, favela ",,
63,Stall,hlev,,,
64,Street,ulica,,,
65,Sugar factory,tovarna sladkorja,,,
66,Swamps and polders,močvirja in polderji,,,
67,Swamp,močvirje,,,
68,Tannery,strojarna,,,
69,House,hiša,,,
70,Wig shop,trgovina z lasuljami,,,
71,Tobacco factory,tobačna tovarna,,,
72,Tea garden,čajni vrt,,,
73,Village,vas,,,
74,Hospital ward,Bolniški oddelek,,,
75,Wash house,pralnica,,,
76,War zone,vojno polje,,,
77,Graveyard,pokopališče,grobišče,,
78,Field hospital,terenska bolnišnica,poljska bolnišnica,,
79,Pleasure fair,sejem užitkov,,,
80,Ropery,,,,
81,Fenced garden,ograjen vrt,,,
82,Brothel,javna hiša,bordel,,
83,Anatomical theatre,anatomsko gledališče,,,
84,Botanical garden,botanični vrt,,,
85,Soap works,čistilnica,,,
86,Old House,stara hiša,,,
87,Medical garden,lekarniški vrt,,,
88,Synagogue,sinagoga,,,
89,Mosque,džamija,mošeja,,
90,Vinegar factory,kisarna,,,
91,Tobacco spinning workshop,,tobačna delavnica,,
92,Restaurant,gostilna,restavracija,,
93,Sea,morje,,,
94,Tarpit,asfaltno jezero,asfaltna jama,,
95,Library,knjižnica,,,
96,Polder,polder,,,
97,Run factory,,,,
98,Sewer,odtočni kanal,,,
99,Limkiln,,apnena peč,,
100,Pub,pivnica,lokal,,
101,Hell,pekel,,,
102,Theatre,gledališče,,,
103,Dirt road,makadam,,,
104,School,šola,,,
105,Bakery,pekarna,,,
106,Print shop,tiskarna,fotokopirnica,,
107,Shop,trgovina,,,
108,Paradise,raj,,,
109,Arabia,Arabija,,,
110,Arcadia,Arkadija,,,
111,Bedroom,spalnica,,,
112,Living room,dnevna soba,,,
113,Coal Wagon,vagon za oglje,,,
114,Dilligence,,,,
115,Haystack,kopica sena,stog,,
116,Stable,hlev,,,
117,Room,,,,
118,Apartment,,,,
