original-taxonomy,level1,level2,related,ICONCLASS,picture
Rimmel,Radical/ root,Orris root,Iris flower,,
Rimmel,Radical/ root,Orris root,Garden (of Delight),,"Botticelli: Primavera

Van Eyck: The adoration of the Lamb"
Rimmel,Radical/ root,Spikenard,Mary of Magdalen,,Jan van Scorel: Mary of Magdalen
Rimmel,Radical/ root,Spikenard,Mary of Bethany,,
Rimmel,Radical/ root,Calamus,Burnt offering in Genesis,,
Rimmel,Radical/ root,Carrot,Market,,
Rimmel,Radical/ root,Carrot,Still Life,,
Rimmel,Radical/ root,Tree roots,Forest,,
Henning,Resinous,Labdanum,Pomander,,
Henning,Resinous,Labdanum,Apothecary cabinet,,
Henning,Resinous,Labdanum,Simplicia cabinet,,
Henning,Resinous,Labdanum,(ingredient of) incense,,
Henning,Resinous,Labdanum,Book of Genesis (37:25)(43:11) brought to Egypt from Canaan,,
Henning,Resinous,Frankincense,Censer,,
Henning,Resinous,Frankincense,Three Magi,,Geertgen tot Sint Jans: Three Magi
Henning,Resinous,Myrrh,Myrrhbearers (miniature),,
Henning,Resinous,Myrrh,Myrrha,,
Henning,Resinous,Myrrh,Birth of Adonis,,The myth of Adonis from Myrrha
Henning,Resinous,Galbanum,making of the Ketoret/Tabernacle and its accessories (Exodus 30:34-38),,
Henning,Resinous,Styrax (often known as ‘gum-resin’),making of the Ketoret/Tabernacle and its accessories (Exodus 30:34-38),,
Henning,Resinous,Styrax (often known as ‘gum-resin’),Herodotus of Halicarnassus (c.440 BC) referred to it keeping snakes away from ancient Egypt,,
Henning,Resinous,Tolu balsam,"medicinal, perfume (ingredient)",,
Henning,Resinous,Peru balsam,"medicinal, food, perfume",,
Henning,Resinous,Peru balsam,Apothecary cabinet,,
Henning,Resinous,Elemi (Canarium luzonicum),Apothecary cabinet,,
"Drom, Rimmel, IFF",Woody,Cedar,Cigarbox,,
"Drom, Rimmel, IFF",Woody,Sandalwood,Furniture,,
"Drom, Rimmel, IFF",Woody,Sandalwood,Pillars Solomon’s temple,,
"Drom, Rimmel, IFF",Woody,"Algum (almug, aka red sandalwood)",Solomon’s Temple and musical instruments (1 Kings 10:12; 2 Chronicles 2:8; 9:10-11) (together with cedar and pine),,
"Drom, Rimmel, IFF",Woody,Agar,,,
"Drom, Rimmel, IFF",Woody,Aloe (in the meaning of tree),,,
"Amoore, Drom, Rimmel, Piesse",Floral,Lily of the Valley,Mary Ascension,,
"Amoore, Drom, Rimmel, Piesse",Floral,Lily of the Valley,Virgin Mary’s tears,,
"Amoore, Drom, Rimmel, Piesse",Floral,Lily of the Valley,Song of songs (2:1),,
"Amoore, Drom, Rimmel, Piesse",Floral,Lily of the Valley,assumption of mary,,
