ID,LABEL en,LABEL,SYNONYMS,DEFINITION,BIBLIOGRAPHY
1,Smelling,Sentir,,,
2,Holding one's nose,Tenir le nez,,,
3,Holding one's nose closed,Tenir le nez fermé,,,
4,Flatulence,Flatulence,,,
5,Hunting,Chasser,,,
6,Vomiting,Vomir,,,
7,Bleaching,Blanchiment,,,
8,Defecation,Défécation,,,
9,Per fumum,,,,
10,Embalming,Embaumement,,,
11,Urination,Urination,,,
12,Examination of urine,Examen de l'urine,,,
13,Street sweeping,Balayage des rues,,,
14,Holding something to the nose,Tenir quelque chose sur le nez,,,
15,Eating,Manger,,,
16,Food tasting,Dégustation,,,
17,Changing diaper,Changer une couche,,,
18,Smoking,Fumer,,,
19,Burning,Brûlure,,,
20,Fainting,Évanouissement,,,
21,Censing,Encenser,,,
22,Piss smelling,Sentir la pisse,,,
23,Scent distributing,Distribution de parfum,,,
24,Hand towards the nose,Main vers le nez,,,
25,Making toilet,Faire la toilette,,,
26,Garbage collecting,Ramassage des ordures,,,
27,Ash collecting,Ramassage des cendres,,,
28,Using scents,Utilisation des odeurs,,,
29,Perfuming,Parfumer,,,
30,Harvesting civet from civet cat,Récolte de la civette du chat civette,,,
31,Burnt offering,Offrande brûlée,,,
32,Womb fumigation,Fumigation de l'utérus,,,
33,Fumigating (health),Fumigation (santé),,,
34,Doctor sniffing cane,Médecin reniflant la canne,,,
35,Rag picking,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,Fougère,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,encens franc,,,
,,,,,
,,encens,,,
