ID,LABEL en,LABEL,SYNONYMS,DEFINITION,BIBLIOGRAPHY
1,Amulet,,,,
2,Dairy,Milcherzeugnis,,,
3,Bath,Bad,,,
4,Jewelry,,,,
5,Whale,(gestrandeter) Wal,,,
6,<Boldootwagen>,,,,
7,Betrothal Ring,,,,
8,Bonfire,Lagerfeuer,"Leuchtfeuer, Feuer",,
9,Burnt offering,Brandopfer,,,
10,Alchemy Equipment,,,,
11,Apothecary Equipment,,,,
12,Anatomical Lessons,,,,
13,Animal,Tier,,,
14,Beaver,Biber,,,
15,Beer,Bier,,,
16,Besamim,,,,
17,Blood,Blut,,,
18,Bouquet,Blumenstrauß,"Strauß, Bouquet",,
19,Bouquet Holder,,,,
20,Bracelet vinaigrette,,,,
21,Bread,Brot,,,
22,Butter,Butter,,,
23,Cadaver,Kadaver,Leiche,,
24,Camphor (tree),Kampfer,"Campher, Kampferbaum",,
25,Candle,Kerzen,,,
26,Chloride of lime ,Chlorkalk ,Calciumhypochlorit,,
27,Carnation,Landnelke,,,
28,Cassolette,,,,
29,Censer,Räuchergefäß,,,
30,Chatelaine (chain),,,,
31,Chatelaine flask,,,,
32,Cheese,Käse,,,
33,Chemical Substance,Chemikalien,,,
34,Chimney,Schornstein,Kamin,,
35,Chocolate (solid),Schokolade,,,
36,Chocolate,Kakao,heiße Schokolade,,
37,Chypre,Chypre,,,
38,Ciborium,Ziborium,,,
39,Cigar,Zigarre,,,
40,Cigar-box,Zigarrenschachtel,Zigarrenkiste,,
41,Cigar-case,,,,
42,Cigar-holder,Zigarrenspitze,,,
43,Cigarette,Zigaretten,,,
44,Civet ,Zibet,,,
45,Civet (mammal) ,Zibetkatze,,,
46,Cloud,Wolken,,,
47,Coal,Kohle,,,
48,Geosmin,,,,
49,Brooch,,,,
50,Coffee,Kaffee,,,
51,Head cone,Kegel (parfümiert),"Zapfen, Tannenzapfen",,
52,Cuir de Russie,,,,
53,Diaper,Windel,,,
54,Distillation equipment,Destillationswerkzeug,,,
55,Dog,Hunde,,,
56,Dragon,Drachen,,,
57,Drainage pipe,Abflussrohr,,,
58,Eau de cologne,Eau de cologne,Kölnisch Wasser,,
59,Eau de Hungary,,,,
60,Eau de Luce,,,,
61,Elm tree,Ulme,,,
62,Essential oil,Ätherische Öle,,,
63,Hand Fan,Fächer,,,
64,Feather,Feder,,,
65,Perfume,,,,
66,Fire,Feuer,,,
67,Fireplace,Kamin,,,
68,Fish,Fisch,,,
69,Flacon,Flakon,Fläschchen,,
70,Flacon ring,,,,
71,Floral water,,,,
72,Flower,Blumen,,,
73,Flower in hair,Blumen in den Haaren,,,
74,Oakmoss,,,,
75,Fruit,Früchte,,,
