ID,LABEL en,LABEL,SYNONYMS,DEFINITION,BIBLIOGRAPHY
1,Aromatic amulet,Amulette aromatique,,,
2,Bao,,,,
3,Bath,Bain,,,
4,Jewelry,Joaillerie,,,
5,(Beached) Whale,Baleine,,,
6,<Boldootwagen>,,,,
7,Betrothal Ring,Anneau de fiançailles,Bague de fiançailles,,
8,Bonfire,Feu de joie,Feu,,
9,Burnt offering,Holocauste,Sacrifice,,
10,Alchemy Equipment,Équipement d'alchimie,,,
11,Apothecary Equipment,Matériel d'apothicaire,,,
12,Anatomical Lessons,Cours d'anatomie,Leçons d'anatomie,,
13,Animal,Animal,,,
14,Beaver,Castor,,,
15,Beer,Bière,,,
16,Besamim,,,,
17,Blood,Sang,,,
18,Bouquet,Bouquet,,,
19,Bouquet Holder,Porte-bouquet,,,
20,Bracelet vinaigrette,Bracelet vinaigrette,,,
21,Bread,Pain,,,
22,Butter,Beurre,,,
23,Cadaver,Cadavre,,,
24,Camphor (tree),Camphrier,"Arbre à camphre, Bois de Shiu, Laurier de Chine",,
25,Candle,Bougie,,,
26,Canal,Canal,,,
27,Carnation,Œillet,Oeillet,,
28,Cassolette,Cassolette,,,
29,Censer,Encensoir ,,,
30,Chatelaine (chain),Châtelaine,,,
31,Chatelaine flask,Flacon Chatelaine,,,
32,Cheese,Fromage,,,
33,Chemical Substance,Substance chimique,,,
34,Chimney,Cheminée,,,
35,Chocolate (solid),Chocolat (solid),,,
36,Chocolate,Chocolat,Cacao,,
37,Chypre,Chypre,Cypre,,
38,Ciborium,Ciboire,,,
39,Cigar,Cigare,,,
40,Cigar-box,Boîte à cigares,,,
41,Cigar-case,Étui à cigares,,,
42,Cigar-holder,Porte-cigare,,,
43,Cigarette,Cigarette,,,
44,Civet ,Civette,Chat musqué,,
45,Civet (mammal) ,Viverra,,,
46,Cloud,Nuage,,,
47,Coal,Charbon,,,
48,Geosmin,Géosmine,,,
49,perfumed brooch,broche,,,
50,Coffee,Café,,,
51,(perfumed) head cone,Cône (parfumé),,,
52,Cuir de Russie,Cuir de Russie,,,
53,Diaper,Couche,,,
54,Distillation equipment,Équipement de distillation,,,
55,Dog,Cane,,,
56,Dragon,Dragon,,,
57,Drainage pipe,Tuyau de drainage,,,
58,Eau de cologne,Eau de cologne,,,
59,Eau de Hungary,Eau de la Reine de Hongrie,Eau de Hongrie,,
60,Eau de Luce,Eau de Luce,,,
61,Elm tree,Orme,,,
62,Essential oil,Huile essentielle,,,
63,Hand Fan,Ventilateur,"Éventail, Ventilateur pliant",,
64,Feather,Plume,,,
65,Perfume,Perfume,,,
66,Fire,Feu,,,
67,Fireplace,Foyer,,,
68,Fish,Poisson,,,
69,Flacon,Flacon,,,
70,Flacon ring,,,,
71,Floral water,Eau aromatique,"Hydrolat, Eau de distillation ",,
72,Flower,Fleur,,,
73,Flower in hair,Fleur dans les cheveux,,,
74,Oakmoss,Mousse de chêne,Lichen fruticuleux,,
75,Fruit,Fruit,,,
76,Fur,Fourrure,,,
77,Waste,Ordures,"Déchets, Poubelle",,
78,Plant,Plante,,,
79,Garlic,Ail,,,
80,(leather) Gloves,Gants,,,
81,Grass,Herbe,Pelouse,,
82,Garland,Guirlande,,,
83,Gun,Arme à feu,"Arme, Pistolet",,
84,Gyroscope pomander,Gyroscope Pomme d'ambre,,,
85,Accessory,Accessoire,,,
86,(scented) Handkerchief,Mouchoir,,,
87,Hay,Foin,,,
88,Herb,Herbe,,,
89,Incense Burner,Brûleur d'encens,,,
90,Inro,Inrō,,,
91,Columbine,Ancolie,,,
92,Lily,Lys,Lis,,
93,Laurel Wreath,Couronne de lauriers,,,
94,Leather Tapestry,Revêtement en cuir,,,
95,Linen,Lin,,,
96,Linen cabinet,Armoire à linge,,,
97,<Lodereindoos>,,,,
98,Manure,Fumier,,,
99,Medicine Jar,Bocaux à médicaments,,,
100,Mouth wash,Bain de bouche,,,
101,Musk Deer,Chevrotain porte-musc,Cerf porte-musc,,
102,Musk Rat,Musk Rat,,,
103,Myrrh,Myrrhe,,,
104,Anemone,Anémone,,,
105,Heliotrope,Héliotrope,,,
106,Nutmeg grater,Râpe à noix de muscade,,,
107,<odor di femmina>,Odeur de femme,,,
108,Odor of sanctity,Odeur de sainteté,,,
109,Oil,Huille,,,
110,Onion,Oignon,,,
111,Ointment jar,Pot d'onguent,,,
112,Pastry,Pâte,Pâtisserie,,
113,Peau d'Espagne,Peau d'Espagne,,,
114,Peltas,,,,
115,Pendant flacon,Pendentif flacon,,,
116,Perfume bottle,Bouteille de parfum,Flacon de parfum,,
117,Perfume box,Boîte de parfum,,,
118,Perfume button,Bouton de parfum,,,
119,Perfume Equipment,Équipement de parfum,,,
120,Perfume flacon,Flacon de parfum,Flacon à parfum,,
121,Perfume ring,Bague Parfum,,,
122,Pipe,Tuyau,Tube,,
123,Plague mask,Masque de peste,,,
124,Plumbing Trap,Piège de plomberie,,,
125,Pomander,Pomme d'ambre,"pomme de senteur, pomander, pomandre ou pommandre ",,
126,Water,Eau,,,
127,Pomander ship,Bateau pomander,,,
128,Pomander Watch,Montre pomander,,,
129,Posy holder,,,,
130,Potpourri (Bowl),Bol de pot-pourri,,,
131,Pouncet Box,Boîte Pouncet,,,
132,Powder Box,Poudrier,Boîte à poudre,,
133,Powdered Wig,Perruque poudrée,,,
134,Privy,Toilettes extérieures,Toilettes dehors,,
135,Rain,Pluie,,,
136,Rosary,Chapelet,,,
137,Rosary bead,Grain du chapelet,,,
138,Rose,Rose,,,
139,Organic waste,Déchets organiques,,,
140,Sachet,Sachet,,,
141,Scented bead,Perle parfumée,,,
142,Scent bottle,Bouteille porte parfum,Bouteille de parfum,,
143,scent box,Boîte porte parfum,Boîte de parfum,,
144,Lamp,,,,
145,Excrement,Excrément,"Bouse, Caca, Crotte, Mince, Zut, Fèces",,
146,Skunk,Moufette,,,
147,Smoke,Fumée,,,
148,Smelling Bottle,Flacon de sels,,,
149,Smelling Box,Petite boîte de crèmes odoriférantes,,,
150,Smelling Salts,,,,
151,Snuff Box,Boîte à priser,,,
152,Soap,Savon,,,
153,Sperm Whale,Cachalot,Ambre gris,,
154,Spikenard,Nard,,,
155,Spirit,Eau-de-vie,,,
156,Stable,Écurie,,,
157,Steam Train,Train à vapeur,,,
158,Tobacco packaging,,,,
159,Talc,Talc,,,
160,Tallow,Suif,,,
161,Tea,Thé,,,
162,Tussie Mussie,Tussie mussie,"Tussy mussy, Petit bouquet",,
163,Vial,Fiole,,,
164,Vinaigrette,Vinaigrette (boîtes-à-parfum),Etui-à-parfum,,
165,Vinegar,Vinaigre,,,
166,Vomit,Vomi,"Vomissure, Gerbe, Régurgitation ",,
167,Wax,Cire,,,
168,Wig,Perruque,,,
169,Wine,Vin,,,
170,Iris,Iris,,,
171,Jonquil,Jonquille,Narcisse Jonquille,,
172,Patchouli,Patchouli,,,
173,<Sillage>,Sillage,,,
174,Alembic,Alambic,,,
175,Lily-of-the-valley,Muguet,Muguet de mai,,
176,Laundry,Linge,Lessive,,
177,Spice,Épices,,,
178,Seafood,Fruit de mer,"Produit de la mer, Marée",,
179,Oil lamp,Lampe à huile,,,
180,Meat,Viande,,,
181,Sausage,Saucisse,Saucisson,,
182,Ham,Jambon,,,
183,Stew,Ragoût,,,
184,Poultry,Volaille,,,
185,Porridge,Bouillie,,,
186,Pancake,Pancake,,,
187,Pie,Tourte,,,
188,Pig,Porc,Cochon,,
189,Horse,Cheval,,,
190,Cow,Vache,"Boeuf, Bœuf, Veau",,
191,Bull,Taureau,,,
192,(Male) goat,Chèvre (masculin),,,
