ID,LABEL en,LABEL,SYNONYMS,DEFINITION,BIBLIOGRAPHY,
1,Amulet,Amulet,,,,
2,Dairy,Zuivel,,,,
3,Bath,Bad,,,,
4,Jewelry,Juwelen,,,,
5,Whale,(Gestrande) walvis,,,,
6,<Boldootwagen>,Boldootwagen,,,,
7,Betrothal Ring,Trouwring (met geurvakje),,,,
8,Bonfire,kampvuur,vreugdevuur,,,
9,Burnt offering,Reukoffer,,,,
10,Alchemy Equipment,Alchemiebenodigdheden,alchemistische apparatuur,,,
11,Apothecary Equipment,Apothekersbenodigdheden,,,,
12,Anatomical Lessons,Anatomische lessen,,,,
13,Animal,Dieren,,,,
14,Beaver,Bever,,,,
15,Beer,Bier,,,,
16,Besamim,Besamim,,,,
17,Blood,Bloed,,,,
18,Bouquet,Boeket,Bouquetstof,Ook gebruikt voor de geur en smaak van wijn,"Ook hebben zich nu de bouquetstoffen gevormd, die van zoveel belang zijn voor de smaak en de reuk van de wijn (”Bouquet”) en de wijn heeft een zachte volle smaak gekregen,   sarels v. rijn, Koken 601 [1951].",
19,Bouquet Holder,Boekethouder,,,,
20,Bracelet vinaigrette,Vinaigrette armband,,,,
21,Bread,Brood,,,,
22,Butter,Boter,,,,
23,Cadaver,Kadaver,,,,
24,Camphor (tree),Kamfer (boom),,,,
25,Candle,Kaarsen,,,,
26,Chloride of lime ,Chloorkalk,Calciumhypochloriet,,,
27,Carnation,Anjer,,"Angelieren. Van een jegelijk,om haare bevallige schoonheit, zeer begeert, worden niet alleen met deze Naame, maar ook in 't Nederlandsch, Gnoffelbloemen, Testebloemen, ofte Violetten, om haare lieffelijke reuk, genoemt,   munting, Waare Oeff. d. Planten² 282 [1682].",,
28,Cassolette,Cassolette,,,,
29,Censer,Wierookvat,,,,
30,Chatelaine (chain),Chatelaine,,,,
31,Chatelaine flask,Chatelaine-fles,,,,
32,Cheese,Kaas,,,,
33,Chemical Element,Chemische substantie,,,,
34,Chimney,Schoorsteen,,,,
35,Chocolate (solid),Chocola (vast),,,,
36,Chocolate,Chocolademelk,,,,
37,Chypre,Chypre,,,,
38,Ciborium,Ciborium,,,,
39,Cigar,Sigaar,,,,
40,Cigar-box,Sigaardoos,,,,
41,Cigar-case,Sigaardoos,,,,
42,Cigar-holder,Sigaarhouder,,,,
43,Cigarette,Sigaret,,,,
44,Civet ,Civet,sevet,,,
45,Civet (mammal) ,Civetkat,,,,
46,Cloud,Wolk,,,,
47,Coal,Steenkool,,,,
48,Geosmin,Geosmine,,,,
49,Brooch,Cocktail broche (met parfum),,,,
50,Coffee,Koffie,,,,
51,Head cone,Kegel (geparfumeerd),,,,
52,Cuir de Russie,Russisch leer,Cuir de Russie,,,
53,Diaper,Luier,,,,
54,Distillation equipment,Distillatiebenodigdheden,,,,
55,Dog,Hond,,,,
56,Dragon,Draak,,,,
57,Drainage pipe,Afvoerpijp,Regenpijp,,,
58,Eau de cologne,Eau de cologne,"Keuls water, Odeklonje, Hoofdeau-de-cologne; wascheau-de-cologne","Eau-de-cologneflacon, Eau-de-cologneflesch, eau-de-colognelucht,  eau-de-colognespuitje.",,
59,Eau de Hungary,Eau de Hungary,Hongaars water,,,
60,Eau de Luce,Eau de Luce,,,,
61,Elm tree,Iep,,,,
62,Essential oil,Essentiele olie,,,,
63,Hand Fan,Waaier,Handwaaier,,,
64,Feather,Veer,,,,
65,Perfume,Parfum,,,,
66,Fire,Vuur,,,,
67,Fireplace,Openhaard,,,,
68,Fish,Vis,,,,
69,Flacon,Flacon,Fles,,,
70,Flacon ring,Flaconring,,,,
71,Floral water,Bloemenwater,Bloemenparfum,,,
72,Flower,Bloemen,,,,
73,Flower in hair,Bloemen in haar,,,,
74,Oakmoss,Eikenmos,,,,
75,Fruit,Fruit,Vruchten,,,
76,Fur,Bont,Vacht,,,
77,Waste,Vuilnis,"Afval, Vuil",,,
78,Plant,Tuin,,,,
79,Garlic,Knoflook,,,,
80,Glove,Handschoenen ,,,,
81,Grass,Gras,,,,
82,Garland,Guirlande,,,,
83,Gun,Geweer,,,,
84,Gyroscope pomander,Gyroscoop pomander,,,,
85,Accessory,accessoire,,,,
86,Handkerchief,Zakdoek,,,,
87,Hay,Hooi,,,,
88,Herb,Kruiden,,,,
89,Incense Burner,Wierookbrander,,,,
90,Inro,Inro,,,,
91,Columbine,Akelei,,,,
92,Lily,Lelie,,,,
93,Laurel Wreath,Laurierkrans,Laurierboog,,,
94,Leather Tapestry,Leerbehang,,,,
95,Linen,Linnen,,,,
96,Linen cabinet,Linnenkast,,,,
97,<Lodereindoos>,Lodereindoos,,,,
98,Manure,Mest,,,,
99,Medicine Jar,Medicijnfles,,,,
100,Mouth wash,Mondwater,,,,
101,Musk Deer,Muskushert,,,,
102,Musk Rat,Muskusrat,,,,
103,Myrrh,Mirre,,,,
104,Anemone,Anemonen,,,,
105,Heliotrope,Heliotroop,,,,
106,Nutmeg grater,Nootmuskaatrasp,,,,
107,<odor di femmina>,Geur van vrouwen,,,,
108,Odor of sanctity,geur der heiligheid,,,,
109,Oil,Olie,,,,
110,Onion,Ui,,,,
111,Ointment jar,Zalfpot,,,,
112,Pastry,Gebak,,,,
113,Peau d'Espagne,Spaans leer,"Spaans leder, Peau d'Espagne",,,
114,Peltas,Peltas,,,,
115,Pendant flacon,Parfumhanger,,,,
116,Perfume bottle,Parfumfles,,,,
117,Perfume box,Parfumdoos,,,,
118,Perfume button,Parfumknopen,,,,
119,Perfume Equipment,parfumbenodigheden,,,,
120,Perfume flacon,Parfumfles,parfumflacon,,,
121,Perfume ring,Parfumring,,,,
122,Pipe,Pijpen,,,,
123,Plague mask,Pestmasker,,,,
124,Plumbing Trap,Zwanenhals,,,,
125,Pomander,Pomander,"reukbal, muskbal",,,
126,Water,Water,,,,
127,Pomander ship,Pomanderscheepje,,,,
128,Pomander Watch,Pomanderhorloge,,,,
129,Posy holder,Boekethouder,,,,
130,Potpourri (Bowl),Potpourrischaal,,,,
131,Pouncet Box,,,,,
132,Powder Box,Poederdoos,,,,
133,Powdered Wig,Poederpruik,,,,
134,Privy,Pot,"wc, watercloset, po",,,
135,Rain,Regen,,,,
136,Rosary,Rozenkrans,,,,
137,Rosary bead,Rozenkranskraal,,,,
138,Rose,Roos,,,,
139,Organic waste,Groen afval,,,,
140,Sachet,Sachet,,,,
141,Scented bead,Geurende kralen,,,,
142,Scent bottle,Geurfles,,,,
143,scent box,Reukdoos,geurdoos,,,
144,Lamp,,,,,
145,Excrement,Poep,"schijt, excrement",,,
146,Skunk,Stinkdier,,,,
147,Smoke,Rook,,,,
148,Smelling Bottle,Reukfles,,,,
149,Smelling Box,Reukdoos,geurdoos,,,
150,Smelling Salts,Reukzouten,vlugzouten,,,
151,Snuff Box,Snuifdoosje,snuifdoos,,,
152,Soap,zeep,,,,
153,Sperm Whale,Potvis (ambergrijs),,,,
154,Spikenard,Nardus,,,,
155,Spirit (alcohol),Gedistilleerd,Gedistilleerde drank,,,
156,Turmeric,Kurkuma,"Geelwortel, Koenjit, Curcumine",,,
157,Steam Train,Stoomtrein,,,,
158,Tobacco packaging,,,,,
159,Talc,Talk,,,,
160,Tallow,Talg (kaarsen),,,,
161,Tea,Thee,,,,
162,Tussie Mussie,Ruikertje,,,,
163,Vial,Flacon,Fles,,,
164,Vinaigrette,Vinaigrette,,,,
165,Vinegar,Azijn,,,,
166,Vomit,Kots,"Braaksel, overgeefsel, spuug",,,
167,Wax,Was,,,,
168,Wig,Pruik,poederpruik,,,
169,Wine,Wijn,,,,
170,Iris,Iris,,,,
171,Jonquil,Jonquille,narcis,,,
172,Patchouli,Patchoeli,patchouli,,,
173,<Sillage>,Sillage,,,,
174,Alembic,Alambiek,,,,
175,Lily-of-the-valley,Lelietje-van-dalen,,,,
176,Laundry,"Was, wasgoed",,,,
177,Spice,Specerijen,,,,
178,Seafood,Zeevruchten,,,,
179,Oil lamp,Olielamp,,,,
180,Meat,Vlees,,,,
181,Sausage,Worsten,,,,
182,Ham,Ham,,,,
183,Stew,stoofpot,,,,
184,Poultry,Gevogelte,,,,
185,Porridge,Pap,,,,
186,Pancake,Pannekoek,pannenkoek,,,
187,Pie,Taarten,gebak,,,
188,Pig,Varken,"zwijn, big",,,
189,Horse,Paard,,,,
190,Cow,Koe,,,,
191,Bull,Stier,,,,
192,Goat,Geit,Bok,,,
193,Sheep,Schaap,,,,
194,Chicken,Kip,,,,
195,Pigeon,Duif,,,,
196,Pigeon manure,Duivenmest,,,,
197,Labdanum,Labdanum,,,,
198,Sea,Zee,,,,
199,Lake,Meer,,,,
200,Tree,Bomen,,,,
201,Lime blossom tree,Lindeboom,"lindebloesem, linde",,,
202,Sandalwood,Sandelhout,santal,,,
203,Benzoin,Benzoë,"benzoin, benjoin","Eene soort van hars, verkregen uit den stam van een boom die behoort tot de Styraceae ","Benzoïn, zoo liefelyk van reuk,   antonides 1, 48 [1671]; De Benzoin dient tot allerleij reukwerken; als meede tot een blanketzel voor de Vrouwen,   156 a.",
204,Tolu balm,Tolu balsem,,,,
205,Peru balm,Peru balsem,,,,
206,Vanilla,Vanille,vanilje,,,
207,Castoreum,Castoreum,,,,
208,Coumarin,Coumarin,,,,
209,Meadow sweet,Moerasspirea,,,,
210,Strewing herb,Strooikruiden,,,,
211,Balm,Balsem,balseming,"Benaming van verschillende welriekende harsen; Vandaar als benaming voor: zachte, aangename geur; bij dichters. Verder als benaming voor allerlei welriekende, geneeskrachtige zalven. ","Balsem is den naem van een welrieckende vochticheyt, nae de welcke alle goede salven, ende olien, die eenige sonderlinge cracht hebben om de wonden toe te heelen, oock Balsemen gheheeten worden,   dodon.1476 b [ed. 1608].",
212,Calamus,Kalmoes,,,,
213,Maces,Foelie,,,,
214,Clove,Kruidnagel,nagel,,,
215,Cinnamon,Kaneel,,,,
216,Gunpowder,Buskruit,,,,
217,Styrax,Styrax,,,,
218,Oak,Eik,eikenhout,,,
219,Ylang ylang,Ylang ylang,,,,
220,Opoponax,Opoponax,,,,
221,Acacia,Acacia,,,,
222,galbanum,Galbanum,,,,
223,violet,Viooltje,,,,
224,orris root,Iriswortel,,,,
225,gum tragacanth,Gom tragacanth,gom dragacanth,,,
226,hyacinth,Hyacinth,,,,
227,Tobacco,Tabak,,,,
228,Aqua mirabilis,Wonderwater,,,,
229,Theriaca,Theriacum,,,,
230,Tar,Teer,,,,
231,Juniper,Jeneverstruik,jeneverbes,,,
232,Laurel,Laurier,,,,
233,Leather,Leer,leder,,,
234,myrtle,Mirthe,,,,
235,mint,Munt,,,,
236,orchid,Orchidee,,,,
237,Tuberose,Tuberoos,,,,
238,filth,"Viezigheid, vuil",,,,
239,Acacia farnesiana,,,,,
240,chamber pot,"Po, pot",,,,
241,gangreen,Gangreen,gasgangreen,,,
242,sulphur,Zwavel,,,,
243,sulphuric acid,Zwavelzuur,,,,
244,Mustard gas,Mosterdgas,,,,
245,wet earth,Natte aarde,,,,
246,petrichor,Petrichor,,,,
247,ozone,ozon,,,,
248,Carbolic acid,carbolzuur,,,,
249,peat,Turf,,,,
250,Peony,Pioenroos,,,,
251,Incense bowl,Wierookschaal,,,,
252,<Boldoot>,Boldoot,,,,
253,Fougère,Fougère,,,,
254,Halitosis,contagium,,,,
255,Raflessia,Rafflessia,,,,
256,Durian,Doerian,,,,
257,Daffodil,Narcis,,,,
258,Jasmine,Jasmijn,,,,
259,Resin,Harzen,,,,
260,Cashmere,Kasjmier,,,,
261,Miasma,Miasma,,,,
262,Mildew,Meeldauw,,,,
263,Mould,Schimmel,,,,
264,Golden altar of incense,Reukaltaar,"Reukofferaltaar, Wierookaltaar",,,
